dir_id,mov_id,dir_fname,dir_lname
201,901,Alfred,Hitchcock
202,902,Jack,Clayton
203,903,David,Lean
204,904,Michael,Cimino
205,905,Milos,Forman
206,906,Ridley,Scott
207,907,Stanley,Kubrick
208,908,Bryan,Singer
209,909,Roman,Polanski
210,910,Paul,Thomas Anderson
211,911,Woody,Allen
212,912,Hayao,Miyazaki
213,913,Frank,Darabont
214,914,Sam,Mendes
215,915,James,Cameron
216,916,Gus,Van Sant
217,917,John,Boorman
218,918,Danny,Boyle
219,919,Christopher,Nolan
220,920,Richard,Kelly
221,921,Kevin,Spacey
222,922,Andrei,Tarkovsky
223,923,Peter,Jackson
